,SLNo,Input Name,Value,Date,Time
0,1,Depth1,4.05,05/16/2019, 00:00:20
1,2,Depth1,4.04,05/16/2019, 00:07:08
2,3,Depth1,4.04,05/16/2019, 00:10:28
3,4,Depth1,4.04,05/16/2019, 00:11:28
4,5,Depth1,4.04,05/16/2019, 00:15:40
5,6,Depth1,4.04,05/16/2019, 00:18:44
6,7,Depth1,4.04,05/16/2019, 00:19:56
7,8,Depth1,4.03,05/16/2019, 00:23:04
8,9,Depth1,4.04,05/16/2019, 00:25:48
9,10,Depth1,4.03,05/16/2019, 00:26:40
10,11,Depth1,4.03,05/16/2019, 00:28:16
11,12,Depth1,4.03,05/16/2019, 00:30:20
12,13,Depth1,4.03,05/16/2019, 00:33:36
13,14,Depth1,4.02,05/16/2019, 00:39:20
14,15,Depth1,4.02,05/16/2019, 00:40:56
15,16,Depth1,4.02,05/16/2019, 00:42:24
16,17,Depth1,4.02,05/16/2019, 00:50:00
17,18,Depth1,4.01,05/16/2019, 01:00:40
18,19,Depth1,4.01,05/16/2019, 01:06:32
19,20,Depth1,4.01,05/16/2019, 01:08:08
20,21,Depth1,4.0,05/16/2019, 01:09:52
21,22,Depth1,4.0,05/16/2019, 01:16:44
22,23,Depth1,4.01,05/16/2019, 01:17:52
23,24,Depth1,4.0,05/16/2019, 01:18:32
24,25,Depth1,4.0,05/16/2019, 01:23:28
25,26,Depth1,3.99,05/16/2019, 01:33:12
26,27,Depth1,3.99,05/16/2019, 01:39:44
27,28,Depth1,3.98,05/16/2019, 01:48:56
28,29,Depth1,3.98,05/16/2019, 01:49:12
29,30,Depth1,3.98,05/16/2019, 01:50:32
30,31,Depth1,3.97,05/16/2019, 01:58:44
31,32,Depth1,3.97,05/16/2019, 02:00:08
32,33,Depth1,3.97,05/16/2019, 02:02:12
33,34,Depth1,3.97,05/16/2019, 02:07:44
34,35,Depth1,3.97,05/16/2019, 02:11:44
35,36,Depth1,3.96,05/16/2019, 02:15:44
36,37,Depth1,3.96,05/16/2019, 02:20:08
37,38,Depth1,3.95,05/16/2019, 02:25:52
38,39,Depth1,3.96,05/16/2019, 02:26:04
39,40,Depth1,3.95,05/16/2019, 02:28:52
40,41,Depth1,3.95,05/16/2019, 02:31:04
41,42,Depth1,3.94,05/16/2019, 02:39:40
42,43,Depth1,3.94,05/16/2019, 02:44:08
43,44,Depth1,3.94,05/16/2019, 02:45:52
44,45,Depth1,3.93,05/16/2019, 02:50:52
45,46,Depth1,3.93,05/16/2019, 02:52:04
46,47,Depth1,3.93,05/16/2019, 02:57:28
47,48,Depth1,3.93,05/16/2019, 02:58:24
48,49,Depth1,3.93,05/16/2019, 03:00:20
49,50,Depth1,3.92,05/16/2019, 03:04:20
50,51,Depth1,3.92,05/16/2019, 03:12:56
51,52,Depth1,3.92,05/16/2019, 03:13:56
52,53,Depth1,3.92,05/16/2019, 03:14:16
53,54,Depth1,3.91,05/16/2019, 03:20:52
54,55,Depth1,3.92,05/16/2019, 03:21:52
55,56,Depth1,3.91,05/16/2019, 03:22:12
56,57,Depth1,3.92,05/16/2019, 03:23:52
57,58,Depth1,3.91,05/16/2019, 03:24:44
58,59,Depth1,3.91,05/16/2019, 03:25:40
59,60,Depth1,3.91,05/16/2019, 03:26:32
60,61,Depth1,3.91,05/16/2019, 03:28:56
61,62,Depth1,3.91,05/16/2019, 03:33:24
62,63,Depth1,3.9,05/16/2019, 03:38:48
63,64,Depth1,3.91,05/16/2019, 03:40:08
64,65,Depth1,3.9,05/16/2019, 03:47:32
65,66,Depth1,3.9,05/16/2019, 03:53:16
66,67,Depth1,3.89,05/16/2019, 03:58:04
67,68,Depth1,3.9,05/16/2019, 04:01:56
68,69,Depth1,3.89,05/16/2019, 04:02:52
69,70,Depth1,3.89,05/16/2019, 04:05:44
70,71,Depth1,3.88,05/16/2019, 04:11:16
71,72,Depth1,3.89,05/16/2019, 04:12:36
72,73,Depth1,3.89,05/16/2019, 04:14:40
73,74,Depth1,3.88,05/16/2019, 04:21:16
74,75,Depth1,3.88,05/16/2019, 04:23:08
75,76,Depth1,3.87,05/16/2019, 04:34:00
76,77,Depth1,3.87,05/16/2019, 04:41:36
77,78,Depth1,3.87,05/16/2019, 04:46:28
78,79,Depth1,3.86,05/16/2019, 04:53:00
79,80,Depth1,3.94,05/16/2019, 04:54:52
80,81,Depth1,3.93,05/16/2019, 04:55:08
81,82,Depth1,3.92,05/16/2019, 04:57:04
82,83,Depth1,3.92,05/16/2019, 05:05:24
83,84,Depth1,3.92,05/16/2019, 05:09:52
84,85,Depth1,3.93,05/16/2019, 05:10:52
85,86,Depth1,3.94,05/16/2019, 05:11:48
86,87,Depth1,3.95,05/16/2019, 05:12:40
87,88,Depth1,3.97,05/16/2019, 05:13:52
88,89,Depth1,3.98,05/16/2019, 05:14:44
89,90,Depth1,4.0,05/16/2019, 05:15:56
90,91,Depth1,4.01,05/16/2019, 05:16:48
91,92,Depth1,4.03,05/16/2019, 05:17:56
92,93,Depth1,4.04,05/16/2019, 05:18:44
93,94,Depth1,4.06,05/16/2019, 05:19:24
94,95,Depth1,4.07,05/16/2019, 05:20:24
95,96,Depth1,4.09,05/16/2019, 05:21:44
96,97,Depth1,4.11,05/16/2019, 05:22:44
97,98,Depth1,4.12,05/16/2019, 05:23:56
98,99,Depth1,4.13,05/16/2019, 05:24:40
99,100,Depth1,4.15,05/16/2019, 05:25:48
100,101,Depth1,4.17,05/16/2019, 05:26:32
101,102,Depth1,4.18,05/16/2019, 05:27:32
102,103,Depth1,4.2,05/16/2019, 05:28:44
103,104,Depth1,4.21,05/16/2019, 05:29:40
104,105,Depth1,4.22,05/16/2019, 05:30:24
105,106,Depth1,4.24,05/16/2019, 05:31:28
106,107,Depth1,4.26,05/16/2019, 05:32:36
107,108,Depth1,4.24,05/16/2019, 05:33:56
108,109,Depth1,4.22,05/16/2019, 05:34:52
109,110,Depth1,4.2,05/16/2019, 05:35:44
110,111,Depth1,4.17,05/16/2019, 05:36:40
111,112,Depth1,4.15,05/16/2019, 05:37:44
112,113,Depth1,4.12,05/16/2019, 05:38:56
113,114,Depth1,4.1,05/16/2019, 05:39:52
114,115,Depth1,4.08,05/16/2019, 05:40:56
115,116,Depth1,4.06,05/16/2019, 05:41:48
116,117,Depth1,4.03,05/16/2019, 05:42:56
117,118,Depth1,4.01,05/16/2019, 05:43:56
118,119,Depth1,3.99,05/16/2019, 05:44:44
119,120,Depth1,3.97,05/16/2019, 05:45:40
120,121,Depth1,3.94,05/16/2019, 05:46:56
121,122,Depth1,3.92,05/16/2019, 05:47:56
122,123,Depth1,3.89,05/16/2019, 05:48:56
123,124,Depth1,3.88,05/16/2019, 05:49:48
124,125,Depth1,3.85,05/16/2019, 05:50:52
125,126,Depth1,3.83,05/16/2019, 05:51:52
126,127,Depth1,3.81,05/16/2019, 05:52:44
127,128,Depth1,3.78,05/16/2019, 05:53:40
128,129,Depth1,3.75,05/16/2019, 05:54:52
129,130,Depth1,3.73,05/16/2019, 05:55:44
130,131,Depth1,3.71,05/16/2019, 05:56:44
131,132,Depth1,3.68,05/16/2019, 05:57:56
132,133,Depth1,3.66,05/16/2019, 05:58:48
133,134,Depth1,3.63,05/16/2019, 05:59:52
134,135,Depth1,3.6,05/16/2019, 06:00:52
135,136,Depth1,3.58,05/16/2019, 06:01:52
136,137,Depth1,3.57,05/16/2019, 06:02:40
137,138,Depth1,3.54,05/16/2019, 06:03:56
138,139,Depth1,3.51,05/16/2019, 06:04:56
139,140,Depth1,3.49,05/16/2019, 06:05:48
140,141,Depth1,3.47,05/16/2019, 06:06:48
141,142,Depth1,3.45,05/16/2019, 06:07:36
142,143,Depth1,3.42,05/16/2019, 06:08:36
143,144,Depth1,3.39,05/16/2019, 06:09:44
144,145,Depth1,3.37,05/16/2019, 06:10:52
145,146,Depth1,3.33,05/16/2019, 06:11:52
146,147,Depth1,3.32,05/16/2019, 06:12:48
147,148,Depth1,3.29,05/16/2019, 06:13:24
148,149,Depth1,3.27,05/16/2019, 06:14:52
149,150,Depth1,3.25,05/16/2019, 06:15:56
150,151,Depth1,3.23,05/16/2019, 06:16:48
151,152,Depth1,3.2,05/16/2019, 06:17:44
152,153,Depth1,3.17,05/16/2019, 06:18:56
153,154,Depth1,3.15,05/16/2019, 06:19:56
154,155,Depth1,3.13,05/16/2019, 06:20:40
155,156,Depth1,3.11,05/16/2019, 06:21:36
156,157,Depth1,3.09,05/16/2019, 06:22:40
157,158,Depth1,3.07,05/16/2019, 06:23:36
158,159,Depth1,3.05,05/16/2019, 06:24:44
159,160,Depth1,3.02,05/16/2019, 06:25:44
160,161,Depth1,3.0,05/16/2019, 06:26:48
161,162,Depth1,2.98,05/16/2019, 06:27:56
162,163,Depth1,2.96,05/16/2019, 06:28:56
163,164,Depth1,2.94,05/16/2019, 06:29:44
164,165,Depth1,2.92,05/16/2019, 06:30:48
165,166,Depth1,2.89,05/16/2019, 06:31:56
166,167,Depth1,2.88,05/16/2019, 06:32:56
167,168,Depth1,2.85,05/16/2019, 06:33:52
168,169,Depth1,2.91,05/16/2019, 06:34:56
169,170,Depth1,2.81,05/16/2019, 06:35:52
170,171,Depth1,2.79,05/16/2019, 06:36:48
171,172,Depth1,2.77,05/16/2019, 06:37:48
172,173,Depth1,2.75,05/16/2019, 06:38:56
173,174,Depth1,2.73,05/16/2019, 06:39:56
174,175,Depth1,2.71,05/16/2019, 06:40:52
175,176,Depth1,2.7,05/16/2019, 06:41:40
176,177,Depth1,2.68,05/16/2019, 06:42:56
177,178,Depth1,2.63,05/16/2019, 06:43:56
178,179,Depth1,2.64,05/16/2019, 06:44:56
179,180,Depth1,2.61,05/16/2019, 06:45:56
180,181,Depth1,2.59,05/16/2019, 06:46:52
181,182,Depth1,2.58,05/16/2019, 06:47:28
182,183,Depth1,2.56,05/16/2019, 06:48:44
183,184,Depth1,2.56,05/16/2019, 06:49:24
184,185,Depth1,2.57,05/16/2019, 06:50:56
185,186,Depth1,2.59,05/16/2019, 06:51:52
186,187,Depth1,2.61,05/16/2019, 06:52:56
187,188,Depth1,2.62,05/16/2019, 06:53:56
188,189,Depth1,2.62,05/16/2019, 06:54:56
189,190,Depth1,2.63,05/16/2019, 06:55:56
190,191,Depth1,2.66,05/16/2019, 06:56:52
191,192,Depth1,2.74,05/16/2019, 06:57:56
192,193,Depth1,2.68,05/16/2019, 06:58:56
193,194,Depth1,2.7,05/16/2019, 06:59:52
194,195,Depth1,2.72,05/16/2019, 07:00:52
195,196,Depth1,2.74,05/16/2019, 07:01:56
196,197,Depth1,2.74,05/16/2019, 07:02:56
197,198,Depth1,2.75,05/16/2019, 07:03:56
198,199,Depth1,2.77,05/16/2019, 07:04:56
199,200,Depth1,2.79,05/16/2019, 07:05:56
200,201,Depth1,2.8,05/16/2019, 07:06:48
201,202,Depth1,2.81,05/16/2019, 07:07:48
202,203,Depth1,2.82,05/16/2019, 07:08:48
203,204,Depth1,2.85,05/16/2019, 07:09:56
204,205,Depth1,2.86,05/16/2019, 07:10:48
205,206,Depth1,2.86,05/16/2019, 07:11:52
206,207,Depth1,2.89,05/16/2019, 07:12:56
207,208,Depth1,2.91,05/16/2019, 07:13:52
208,209,Depth1,2.98,05/16/2019, 07:14:56
209,210,Depth1,2.94,05/16/2019, 07:15:56
210,211,Depth1,2.95,05/16/2019, 07:16:48
211,212,Depth1,2.95,05/16/2019, 07:17:40
212,213,Depth1,2.97,05/16/2019, 07:18:52
213,214,Depth1,2.99,05/16/2019, 07:19:56
214,215,Depth1,3.0,05/16/2019, 07:20:52
215,216,Depth1,3.02,05/16/2019, 07:21:40
216,217,Depth1,3.03,05/16/2019, 07:22:44
